"Index","Variant","Region, subregion, country or area *","Notes","Location code","ISO3 Alpha-code","ISO2 Alpha-code","SDMX code**","Type","Parent code","Year","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49"
"16","Estimates","World",NA,"900",NA,NA,"1","World","0","1965","30.711","55.682","88.252","127.986","170.632","209.792","237.138","256.459","268.612","272.489","269.819","261.595","252.196","242.075","231.153","220.913","209.263","198.803","186.939","175.65","164.515","152.177","139.93","126.393","112.366","99.213","82.566","65.048","48.848","34.351","20.673","13.272","8.303","5.297","2.984"
"17","Estimates","World",NA,"900",NA,NA,"1","World","0","1966","30.116","54.308","86.065","124.557","165.261","204.628","235.268","254.305","265.135","268.181","265.116","256.446","245.827","235.43","224.435","214.563","203.897","195.275","184.622","173.336","161.396","149.336","136.316","123.473","108.786","94.864","79.278","62.71","46.727","32.922","20.013","12.893","8.17","5.355","3.104"
"18","Estimates","World",NA,"900",NA,NA,"1","World","0","1967","28.824","52.168","83.222","121.222","160.744","198.436","229.709","251.885","263.339","266.345","263.486","255.176","244.053","232.562","221.542","211.212","200.003","190.718","181.301","170.082","157.391","144.267","131.061","117.358","103.436","89.164","73.632","58.338","43.728","30.753","19.295","12.544","8.031","5.282","3.128"
"19","Estimates","World",NA,"900",NA,NA,"1","World","0","1968","28.744","52.042","84.242","123.436","163.899","200.765","231.04","254.306","268.451","271.657","269.367","260.199","248.752","236.52","224.414","214.192","203.236","194.579","185.381","176.5","164.152","150.468","136.595","122.736","108.125","94.166","77.532","61.22","46.15","32.489","19.823","12.72","7.917","5.125","3.032"
"20","Estimates","World",NA,"900",NA,NA,"1","World","0","1969","28.239","50.438","81.811","121.437","162.174","199.771","227.718","248.632","262.736","268.243","266.223","257.979","246.265","233.993","221.429","210.447","199.129","189.645","180.187","170.908","160.699","147.631","133.106","118.665","104.142","90.029","74.375","58.21","43.554","30.939","19.386","12.588","7.983","5.109","3.002"
"21","Estimates","World",NA,"900",NA,NA,"1","World","0","1970","27.968","50.33","81.062","120.374","161.893","200.169","228.806","246.976","259.13","264.537","264.821","257.519","247.015","234.733","221.766","209.298","197.141","186.885","176.616","167.01","156.729","145.798","132.101","117.121","102.283","88.115","72.628","57.029","42.422","30.027","19.103","12.514","7.994","5.167","3.022"
"22","Estimates","World",NA,"900",NA,NA,"1","World","0","1971","28.407","50.013","80.749","118.599","158.99","197.272","225.189","242.839","252.657","256.924","256.815","252.164","242.671","231.209","218.149","204.697","191.395","179.654","168.575","157.764","147.32","136.513","124.913","111.281","96.672","82.844","67.985","53.227","39.806","28.193","18.286","12.16","7.908","5.21","3.111"
"23","Estimates","World",NA,"900",NA,NA,"1","World","0","1972","28.929","51.287","80.314","116.758","154.674","192.267","220.125","238.171","248.305","251.024","249.843","245.427","238.129","227.059","214.42","200.698","186.243","173.339","161.332","150.027","138.976","128.161","117.024","105.498","92.29","78.864","64.628","50.533","37.793","26.96","17.708","11.874","7.828","5.221","3.157"
"24","Estimates","World",NA,"900",NA,NA,"1","World","0","1973","29.641","51.904","80.971","114.99","152.277","187.559","215.356","233.304","243.484","246.822","243.986","238.573","231.142","222.28","209.678","196.133","181.589","167.56","154.778","142.894","131.669","120.676","109.781","98.817","87.633","75.529","61.902","48.259","36.095","25.793","17.068","11.533","7.662","5.138","3.114"
"25","Estimates","World",NA,"900",NA,NA,"1","World","0","1974","30.69","51.939","80.04","113.723","148.816","183.1","209.138","227.224","237.299","240.913","238.873","231.749","223.079","213.723","203.26","189.566","175.307","161.235","147.343","134.865","123.403","112.471","101.667","91.122","80.795","70.763","58.554","45.793","34.253","24.529","16.373","11.175","7.538","5.096","3.105"
