"","i","avg_r","age","sex","born"
"129","TP593",0.00358606557377049,46,2,1
"130","TP594",0.00614754098360656,27,1,1
"131","TP595",0.00281762295081967,65,2,0
"132","TP598",0.00102459016393443,21,2,0
"133","TP599",0.00461065573770492,1,2,1
"134","TP601",0.00614754098360656,71,2,0
"135","TP602",0.00922131147540984,56,1,1
"136","TP603",0.00512295081967213,41,2,0
"137","TP604",0.00819672131147541,22,1,1
"138","TP605",0.00819672131147541,17,1,1
"139","TP606",0.00819672131147541,13,1,1
"140","TP607",0.00819672131147541,11,2,1
"141","TP608",0.00819672131147541,9,1,1
"142","TP609",0.00819672131147541,46,1,1
"143","TP610",0.00307377049180328,36,2,0
"144","TP611",0.00665983606557377,16,1,1
"145","TP612",0.00665983606557377,15,2,1
"146","TP613",0.00665983606557377,13,1,1
"147","TP616",0.00371413934426229,56,1,1
"148","TP617",0.00742827868852459,66,1,1
"149","TP618",0.00102459016393443,51,2,0
"150","TP619",0.00525102459016393,26,1,1
"151","TP620",0.00281762295081967,47,1,1
"152","TP621",0.00896516393442623,45,2,1
"153","TP622",0.00691598360655738,30,1,1
"154","TP623",0.00448258196721311,13,2,0
"155","TP624",0.0038422131147541,56,1,1
"156","TP625",0.00204918032786885,51,2,0
"157","TP626",0.00499487704918033,32,1,1
"158","TP627",0.00204918032786885,25,2,0
"159","TP628",0.00454661885245902,3,2,1
"160","TP629",0.00454661885245902,0.75,1,1
"161","TP630",0.00345799180327869,36,1,1
"162","TP631",0.00204918032786885,46,2,0
"163","TP632",0.0037781762295082,23,1,1
"164","TP633",0.0037781762295082,18,1,1
"165","TP634",0.0038422131147541,66,1,1
"166","TP635",0.00537909836065574,56,2,0
"167","TP636",0.00665983606557377,34,1,1
"168","TP637",0.00204918032786885,29,2,0
"169","TP638",0.00537909836065574,4,2,1
"170","TP639",0.00537909836065574,0.75,2,1
"171","TP641",0.00307377049180328,21,2,1
"172","TP643",0,42,1,0
"173","TP644",0,36,2,0
"174","TP645",0.00896516393442623,58,1,1
"175","TP646",0.00665983606557377,53,2,0
"176","TP647",0.00986168032786885,31,1,1
"177","TP648",0.00986168032786885,29,1,1
"178","TP649",0.0103739754098361,36,2,1
"179","TP650",0.00409836065573771,39,1,0
"180","TP651",0.00826075819672131,15,2,0
"181","TP652",0.00826075819672131,12,1,0
"182","TP653",0.00826075819672131,11,1,0
"183","TP654",0.00204918032786885,27,2,0
"184","TP655",0.00698002049180328,6,1,1
"185","TP656",0.00204918032786885,27,2,0
"186","TP657",0.00698002049180328,5,2,1
"187","TP658",0.00256147540983607,71,1,0
"188","TP659",0.00698002049180328,2,1,1
"189","TP660",0.00698002049180328,1.5,1,1
"190","TP661",0.00153688524590164,61,2,0
"191","TP662",0.00499487704918033,36,1,1
"192","TP664",0.00102459016393443,27,2,0
"193","TP667",0.00204918032786885,46,2,0
"194","TP668",0.00262551229508197,19,2,1
"195","TP669",0.00262551229508197,12,1,1
"196","TP670",0,53,1,1
"197","TP671",0,48,2,0
"198","TP673",0,45,2,0
"199","TP674",0.00204918032786885,44,1,1
"200","TP675",0.00204918032786885,45,2,0
"201","TP676",0.00307377049180328,18,1,1
"202","TP677",0.00307377049180328,15,1,1
"203","TP678",0.00358606557377049,56,1,1
"204","TP679",0.00230532786885246,48,2,0
"205","TP681",0.0039702868852459,28,1,1
"206","TP682",0.00192110655737705,31,2,0
"207","TP683",0.00358606557377049,1.5,1,1
"208","TP685",0.00998975409836066,30,2,1
"209","TP686",0.00762038934426229,7,1,1
"210","TP687",0.00762038934426229,6,2,1
"211","TP688",0.00102459016393443,51,1,1
"212","TP689",0.00102459016393443,41,2,0
"213","TP690",0.00204918032786885,24,1,1
"214","TP694",0.00307377049180328,39,2,0
"215","TP695",0.00704405737704918,16,2,1
"216","TP696",0.00704405737704918,13,2,1
"217","TP697",0.00704405737704918,10,1,1
"218","TP698",0.00947745901639344,46,1,1
"219","TP699",0.00204918032786885,43,2,0
"220","TP700",0.00678790983606557,26,1,1
"221","TP701",0.00678790983606557,23,2,1
"222","TP703",0.00973360655737705,76,2,1
"223","TP706",0.00896516393442623,46,1,1
"224","TP707",0.00512295081967213,44,2,1
"225","TP708",0.00806864754098361,18,1,1
"226","TP709",0.00307377049180328,61,1,1
"227","TP710",0.00153688524590164,49,2,0
"228","TP711",0.0038422131147541,32,1,1
"229","TP712",0.00102459016393443,20,2,0
"230","TP713",0.00345799180327869,1,2,1
"231","TP714",0.00102459016393443,44,1,0
"232","TP715",0.00406634221311475,43,2,1
"233","TP716",0.00357005635245902,16,2,1
"234","TP717",0.00819672131147541,69,1,1
"235","TP718",0.00409836065573771,68,2,1
"236","TP719",0.00717213114754098,36,1,1
"237","TP720",0.0076844262295082,46,2,1
"238","TP722",0.00435450819672131,30,2,0
"239","TP723",0.00256147540983607,66,1,1
"240","TP724",0.00256147540983607,61,2,0
"241","TP725",0.00691598360655738,46,1,1
"242","TP726",0.00204918032786885,43,2,0
"243","TP727",0.00550717213114754,23,2,1
"244","TP728",0.00550717213114754,17,2,1
"245","TP729",0.00512295081967213,37,1,1
"246","TP730",0.00307377049180328,36,2,0
"247","TP731",0.00512295081967213,17,1,1
"248","TP732",0.00512295081967213,14,1,1
"249","TP733",0.00512295081967213,12,1,1
"250","TP734",0.00512295081967213,34,1,1
"251","TP735",0.00102459016393443,33,2,0
"252","TP738",0.00409836065573771,2,2,1
"253","TP739",0.00614754098360656,36,1,1
"254","TP740",0.00307377049180328,35,2,0
"255","TP741",0.00563524590163934,20,1,1
"256","TP742",0.00563524590163934,17,2,1
"257","TP743",0.00563524590163934,16,1,1
"258","TP744",0.0079405737704918,49,1,1
"259","TP745",0.00204918032786885,36,2,0
"260","TP746",0.00601946721311475,16,1,1
"261","TP747",0.00601946721311475,17,1,1
"262","TP748",0.00614754098360656,66,1,1
"263","TP749",0.00563524590163934,61,2,0
"264","TP750",0.00742827868852459,34,1,1
"265","TP751",0.00627561475409836,1,1,1
"266","TP752",0.0079405737704918,37,1,1
"267","TP753",0.00204918032786885,32,2,0
"268","TP754",0.00601946721311475,8,2,1
"269","TP755",0.00601946721311475,5,2,1
"270","TP756",0.00102459016393443,57,1,1
"271","TP757",0.0076844262295082,56,2,1
"272","TP760",0.00371413934426229,11,2,1
"273","TP761",0.00371413934426229,10,2,1
"274","TP762",0.0079405737704918,50,1,1
"275","TP763",0.00409836065573771,51,2,0
"276","TP764",0.00806864754098361,30,1,1
"277","TP765",0.00704405737704918,28,1,1
"278","TP766",0.00704405737704918,17,2,1
"279","TP767",0.00204918032786885,24,2,0
"280","TP768",0.00608350409836066,3,2,1
"281","TP769",0.00608350409836066,1,2,1
"282","TP771",0.00102459016393443,58,2,0
"283","TP772",0.00294569672131148,28,1,1
"284","TP773",0.00204918032786885,41,1,1
"285","TP774",0.00102459016393443,37,2,0
"286","TP776",0.00153688524590164,66,2,0
"287","TP777",0.00256147540983607,5,2,1
"288","TP778",0.00307377049180328,48,1,1
"289","TP779",0.00204918032786885,36,2,0
"290","TP780",0.00358606557377049,17,2,1
"291","TP781",0.00358606557377049,13,1,1
"292","TP782",0.00204918032786885,68,1,1
"293","TP784",0.00204918032786885,48,1,0
"294","TP785",0.00665983606557377,44,2,1
"295","TP786",0.00537909836065574,13,1,1
"296","TP787",0.00537909836065574,11,2,1
"297","TP788",0.00614754098360656,66,1,1
"298","TP789",0.00563524590163934,38,1,1
"299","TP790",0.00358606557377049,76,2,0
"300","TP792",0.00665983606557377,41,1,1
"301","TP793",0.00204918032786885,36,2,0
"302","TP794",0.00537909836065574,8,2,1
"303","TP795",0.00537909836065574,7,2,1
"304","TP796",0.00409836065573771,66,1,1
"305","TP797",0.00204918032786885,61,2,0
"306","TP798",0.00409836065573771,38,1,1
"307","TP799",0.00409836065573771,27,1,1
"308","TP800",0.000512295081967213,64,1,1
"309","TP801",0.000512295081967213,46,2,0
"310","TP804",0.00102459016393443,3,1,0
"311","TP805",0.00557120901639344,68,1,1
"312","TP806",0.00102459016393443,61,2,0
"313","TP807",0.00432248975409836,28,2,1
"314","TP809",0.00569928278688525,49,1,1
"315","TP810",0.00512295081967213,45,2,1
"316","TP811",0.00643570696721311,21,1,1
"317","TP812",0.00643570696721311,16,1,1
"318","TP815",0.00307377049180328,56,1,1
"319","TP816",0,51,2,0
"320","TP817",0.00614754098360656,66,1,1
"321","TP818",0.00409836065573771,18,2,1
"322","TP819",0.00409836065573771,16,2,1
"323","TP821",0.00256147540983607,51,2,0
"324","TP823",0.00563524590163934,31,2,1
"325","TP825",0.0038422131147541,9.5,1,0
"326","TP826",0.0038422131147541,6,1,0
"327","TP827",0.00102459016393443,67,2,0
"328","TP831",0,46,1,1
"329","TP832",0.00076844262295082,76,2,1
"330","TP833",0.00589139344262295,76,2,0
"331","TP665",0.0040343237704918,2,2,1
"332","TP835",0.00922131147540984,41,1,1
"333","TP836",0.00204918032786885,39,2,0
"334","TP837",0.00665983606557377,15,2,1
"335","TP838",0.00665983606557377,13,2,1
"336","TP839",0.00819672131147541,76,2,0
"337","TP842",0.00614754098360656,49,2,0
"338","TP843",0.00896516393442623,26,1,1
"339","TP844",0.00358606557377049,76,2,0
"340","TP845",0.00998975409836066,33,1,1
"341","TP846",0.00204918032786885,29,2,0
"342","TP847",0.00704405737704918,5,1,1
"343","TP848",0.00704405737704918,3,2,1
"344","TP849",0.00409836065573771,57,1,1
"345","TP850",0.00204918032786885,41,2,0
"346","TP851",0.00409836065573771,26,1,1
"347","TP852",0.00409836065573771,23,1,1
"348","TP853",0.00307377049180328,76,2,1
"349","TP857",0.00102459016393443,61,2,1
"350","TP858",0.00102459016393443,58,2,1
"351","TP859",0,72,1,1
"352","TP860",0,66,2,0
"353","TP862",0.0038422131147541,61,2,1
"354","TP864",0.00204918032786885,28,2,0
"355","TP865",0.00505891393442623,6.5,1,1
"356","TP866",0.00505891393442623,2.5,1,1
"357","TP867",0.00307377049180328,76,2,1
"358","TP869",0.00198514344262295,46,1,1
"359","TP870",0,43,2,0
"360","TP871",0.00307377049180328,66,1,1
