"","i","avg_r","age","sex","primary","secondary","born"
"120","GA790",0.000663129973474801,26,2,1,0,0
"121","GA422",0,23,2,0,0,0
"122","GA3238",0.00348143236074271,25,2,4,0,0
"123","GA1644",0.0019893899204244,24,1,2,2,0
"124","GA47",0.00833057029177719,26,2,1,6,1
"125","GA1588",0.00729442970822281,29,2,2,4,1
"126","GA672",0.00613395225464191,27,2,3,3,1
"127","GA3395",0.0018236074270557,26,2,1,3,0
"128","GA1412",0.001657824933687,26,2,1,3,0
"129","GA1464",0.00339854111405836,27,2,3,0,1
"130","GA466",0.00373010610079576,29,2,1,6,1
"131","GA470",0.00621684350132626,29,2,3,6,1
"132","GA2263",0.00746021220159151,25,2,5,2,0
"133","GA55",0.00746021220159151,27,2,5,2,0
"134","GA1762",0.00646551724137931,27,2,1,6,1
"135","GA1548",0.00518070291777188,28,2,1,6,1
"136","GA550",0.00547082228116711,28,2,3,6,1
"137","GA573",0.00820623342175066,27,2,2,9,1
"138","GA3612",0.0028183023872679,27,2,3,2,1
"139","GA875",0.0019893899204244,27,2,2,2,1
"140","GA3472",0.00667274535809019,26,2,2,5,1
"141","GA2621",0.0013262599469496,28,2,2,0,0
"142","GA528",0.00812334217506631,29,2,4,6,1
"143","GA2920",0.00547082228116711,27,2,2,4,1
"144","GA3264",0.010879476127321,28,2,4,7,1
"145","GA1187",0.00638262599469496,29,2,5,2,1
"146","GA3576",0.001657824933687,36,2,2,1,1
"147","GA2604",0.0011604774535809,39,2,1,0,1
"148","GA118",0.0026525198938992,34,2,2,4,1
"149","GA93",0.0029840848806366,34,2,3,2,1
"150","GA1761",0.0026525198938992,33,2,1,6,1
"151","GA3424",0.00314986737400531,41,2,2,5,1
"152","GA3180",0.00563660477453581,36,2,4,4,1
"153","GA2006",0,33,2,0,0,1
"154","GA2791",0.00364721485411141,38,2,2,7,1
"155","GA1344",0.000663129973474801,36,2,0,2,0
"156","GA986",0.00455901856763926,42,2,2,4,1
"157","GA1288",0.00431034482758621,33,2,3,7,1
"158","GA3026",0.00588527851458886,31,2,1,15,1
"159","GA3170",0.000663129973474801,40,2,1,0,1
"160","GA1523",0.00870358090185676,35,2,3,1,1
"161","GA3455",0.0013262599469496,33,2,1,2,1
"162","GA2441",0.00741876657824934,37,2,4,5,1
"163","GA1791",0.00364721485411141,34,2,2,3,1
"164","GA2811",0.00746021220159151,38,2,5,2,0
"165","GA63",0.0018236074270557,37,2,1,2,1
"166","GA621",0.00431034482758621,43,2,3,7,1
"167","GA1718",0.0023209549071618,34,2,3,1,1
"168","GA2493",0.00625828912466843,35,2,4,5,1
