"","i","avg_r","age","sex","born"
"141","DM2665",0.0363189624777316,50,1,1
"142","DM2666",0.0358022658105701,34,1,1
"143","DM2703",0.0321401564355701,60,2,1
"144","DM2714",0.0186451529097387,37,2,1
"145","DM2780",0.011828062370101,53,2,1
"146","DM2791",0.02012971347981,64,2,1
"147","DM2802",0.028577211067399,39,2,1
"148","DM2813",0.0355389882719715,32,2,1
"149","DM2824",0.0333483915714074,17,2,1
"150","DM2835",0.0297648595234561,49,2,1
"151","DM2868",0.0135315376336105,49,1,1
"152","DM2935",0.0192389771377672,52,1,1
"153","DM3012",0.0014103325415677,46,1,1
"154","DM3078",0.00825786817102138,25,1,1
"155","DM3199",0.0120434976247031,60,2,1
"156","DM3233",0.011542458432304,36,2,1
"157","DM3255",0.00497327790973872,13,2,1
"158","DM3298",0.00630938242280285,72,2,1
"159","DM3309",0.00497327790973872,14,1,1
"160","DM3387",0.00356294536817102,45,2,1
"161","DM3409",0.00326603325415677,21,2,1
"162","DM3431",0.00497327790973872,11,2,1
"163","DM3443",0.00497327790973872,11,2,1
"164","DM3465",0.0126373218527316,45,2,1
"165","DM3531",0.0208270510132126,24,2,1
"166","DM3542",0.0155380140290974,74,2,1
"167","DM3554",0.0175737757014549,29,1,1
"168","DM3576",0.0157006777946853,22,1,1
"169","DM3597",0.000593824228028504,26,2,1
"170","DM3608",0.0169744423619359,62,2,1
"171","DM3630",0.0218291293980107,22,2,1
"172","DM3675",0.0158349261431116,74,1,1
"173","DM3686",0.0120742326677553,38,1,1
"174","DM3719",0.00698566210241612,14,2,1
"175","DM3730",0.00698566210241612,17,1,1
"176","DM3809",0.00746339630344418,28,2,1
"177","DM3842",0.0046021377672209,33,1,1
"178","DM3886",0,56,1,0
"179","DM3951",0.00289489311163895,31,1,1
"180","DM4018",0.00778408458283848,21,1,1
"181","DM4051",0.011319484393557,32,2,0
"182","DM4117",0.00230106888361045,23,2,1
"183","DM4140",0.00911120054557601,12,2,1
"184","DM4148",0.000890736342042755,77,2,1
"185","DM4149",0.0345154533476841,40,1,1
"186","DM4154",0.0235940747476247,82,1,1
"187","DM4156",0.034524731851247,19,2,1
"188","DM4157",0.034524731851247,14,2,1
"189","DM4158",0.0368179719974762,10,1,1
"190","DM4159",0,21,1,1
"191","DM4162",0.0351092775757126,32,1,1
"192","DM4164",0.0232791855329572,43,2,1
"193","DM4167",0.0151001846422209,34,1,1
"194","DM4168",0.0325272440060867,34,1,1
"195","DM4169",0.0364084130511431,8,1,1
"196","DM4170",0.0364084130511431,7,1,1
"197","DM4172",0.0224064262915677,79,1,1
"198","DM4173",0.00482482185273159,71,2,1
"199","DM4177",0.0205889994061758,74,2,1
"200","DM4178",0.0270932304038005,60,2,1
"201","DM4183",0.0220033912930523,59,2,1
"202","DM4185",0.0362969260317696,37,1,1
"203","DM4186",0.0301519470939727,26,1,1
"204","DM4187",0.0396366074079572,64,1,1
"205","DM4188",0.0230002505195962,74,1,1
"206","DM4189",0.0360736620397862,68,1,1
"207","DM4190",0.0345154533476841,41,1,1
"208","DM4192",0.0232791855329572,NA,1,1
"209","DM4201",0.00943623812351544,NA,2,1
"210","DM4203",0.00943623812351544,11,1,1
"211","DM4209",0.0124529115944181,80,2,1
"212","DM4217",0.017433148381829,72,2,1
"213","DM4231",0.00237529691211401,83,1,1
"214","DM4236",0.0192244794759501,39,1,1
"215","DM4238",0.0192244794759501,59,2,1
"216","DM4242",0.00915469353102732,19,2,1
"217","DM4243",0.0118092154097387,27,1,1
"218","DM4247",0.0118092154097387,29,1,1
"219","DM4252",0.0177578960065321,33,1,1
"220","DM4255",0.0130970427089519,83,2,1
"221","DM4256",0.0206261134204276,72,1,1
"222","DM4257",0.00916484189429929,11,2,1
"223","DM4258",0.0177578960065321,39,2,1
"224","DM4260",0.0115960272927182,41,2,1
"225","DM4267",0.0133239311163895,52,1,1
"226","DM4274",0.0149940617577197,35,1,1
"227","DM4281",0.014172914192399,34,1,1
"228","DM4282",0.0149628555406584,10,1,1
"229","DM4283",0.00916484189429929,12,1,1
"230","DM4284",0.0177578960065321,40,1,1
"231","DM4285",0.00356294536817102,39,2,1
"232","DM4288",0.0218021637470309,70,2,1
"233","DM4293",0.00898159144893112,50,1,1
"234","DM4297",0.0119971051068884,23,1,1
"235","DM4304",0.014172914192399,35,1,1
"236","DM4305",0.00534441805225653,73,2,1
"237","DM4312",0.0201331929186461,45,2,1
"238","DM4313",0.0159543868764846,40,1,1
"239","DM4315",0.00194036705760095,17,2,1
"240","DM4327",0.0105835830797209,25,1,0
"241","DM4330",0.00552998812351544,49,1,1
"242","DM4333",0.00434233966745843,61,2,1
"243","DM4337",0.0132618811238124,45,2,1
"244","DM4340",0.0105835830797209,16,2,1
"245","DM4341",0.0060124703087886,86,1,1
"246","DM4344",0.00639183787438762,21,1,0
"247","DM4346",0.0199795177033848,24,1,1
"248","DM4351",0.0199795177033848,22,1,1
"249","DM4364",0.00549287410926366,73,2,1
"250","DM4366",0.0250519596199525,41,2,1
"251","DM4368",0.00356294536817102,46,1,1
"252","DM4372",0.00688464964370546,18,2,1
"253","DM4373",0.0106491125111342,10,1,1
"254","DM4376",0,NA,1,0
"255","DM4390",0.0250519596199525,45,2,1
"256","DM4394",0.0112061126781473,62,1,1
"257","DM4395",0.00296912114014252,94,2,1
"258","DM4399",0.00423099762470309,54,1,1
"259","DM4411",0.00504750593824228,74,2,1
"260","DM4415",0.00688464964370546,31,1,1
"261","DM4420",0.0279839667458432,74,2,1
"262","DM4422",0.0262024940617577,13,2,1
"263","DM4426",0.0235740679743171,33,1,1
"264","DM4429",0.0262024940617577,19,2,1
"265","DM4430",0.0165476311980404,30,1,1
"266","DM4431",0.0174807007125891,44,2,1
"267","DM4432",0.0289860451306413,35,2,1
"268","DM4433",0.0262024940617577,23,2,1
"269","DM4434",0.0262024940617577,21,1,1
"270","DM4435",0.0325489904988124,47,1,1
"271","DM4440",0.0301736935866983,35,2,1
"272","DM4441",0.00835065320665083,16,2,1
"273","DM4442",0.00835065320665083,NA,1,1
"274","DM4443",0.0262024940617577,11,1,1
"275","DM4445",0.0283922209026128,28,1,1
"276","DM4451",0.0181365749331948,56,1,1
"277","DM4455",0.0181365749331948,64,1,1
"278","DM4459",0.0105914118171021,27,1,1
"279","DM4463",0.0195298002338183,29,2,1
"280","DM4467",0.0121591889660036,28,1,1
"281","DM4469",0.00380650608669834,49,2,1
"282","DM4473",0.0185477286223278,NA,2,1
"283","DM4481",0.00196704275534442,28,1,1
"284","DM4486",0.00118764845605701,69,1,0
"285","DM4488",0.0236851925521452,10,2,1
"286","DM4490",0.014821394605478,36,1,1
"287","DM4492",0.0236851925521452,13,2,1
"288","DM4495",0.014203359282215,59,1,1
"289","DM4497",0.00831353919239905,60,2,1
"290","DM4499",0.0130399219213925,35,1,1
"291","DM4500",0.0106604206873515,NA,2,1
"292","DM4501",0.0177643474660407,10,2,1
"293","DM4502",0.012446097693364,34,1,1
"294","DM4506",0.0141561693930003,12,2,1
"295","DM4508",0.00296912114014252,76,2,0
"296","DM4512",0.0150868467933492,20,1,1
"297","DM4524",0.0189032112900831,36,2,1
"298","DM4525",0.0177155628340261,42,1,1
"299","DM8",0.0219587384946556,62,2,1
"300","DM9",0.0177155628340261,32,2,1
"301","DM11",0.0177155628340261,37,2,1
"302","DM16",0.0147609393557007,80,2,1
"303","DM18",0.0014103325415677,82,1,1
"304","DM24",0.0125883197557898,41,2,1
"305","DM29",0,77,2,1
"306","DM30",0.000668052256532066,56,1,1
"307","DM39",0.00797023456057007,NA,2,1
"308","DM41",0.00743672060570071,42,1,1
"309","DM53",0.0109909673767815,23,2,1
"310","DM55",0.00875426811163895,70,1,1
"311","DM59",0.0336983651276722,60,2,1
"312","DM67",0.00397583877672209,89,1,1
"313","DM82",0.00593824228028504,50,2,1
"314","DM83",0.00772406426291568,24,2,0
"315","DM85",0.00772406426291568,21,1,1
"316","DM86",0.00772406426291568,19,2,1
"317","DM88",0.00772406426291568,9,1,1
"318","DM89",0.00772406426291568,17,1,1
"319","DM97",0.0130339778800475,23,1,1
"320","DM100",0.0114386551736936,NA,1,0
"321","DM103",0,65,1,1
"322","DM104",0.00729290380047506,68,2,0
"323","DM108",0.0130339778800475,21,2,1
"324","DM109",0.0130339778800475,30,1,1
"325","DM113",0.0130339778800475,10,1,1
"326","DM114",0.0106604206873515,20,1,1
"327","DM127",0.0111156472684086,35,2,1
"328","DM133",0.00564133016627078,72,1,1
