"","i","avg_r","age","sex","born"
"146","NI581",0.0388738804517134,6,2,1
"147","NI466",0.0388738804517134,4,1,1
"148","NI852",0.0706410630841122,22,2,1
"149","NI372",0.0690834306853583,21,1,1
"150","NI903",0.0690834306853583,19,1,1
"151","NI830",0.0690834306853583,17,2,1
"152","NI645",0.0690834306853583,16,2,1
"153","NI220",0.0690834306853583,12,2,1
"154","NI326",0.0690834306853583,8,2,1
"155","NI258",0.0690834306853583,8,2,1
"156","NI568",0.0366043613707165,51,1,0
"157","NI417",0.0455242406542056,47,2,1
"158","NI380",0.042621933411215,29,1,1
"159","NI965",0.0441795658099688,27,1,1
"160","NI861",0.0465160144080997,25,2,1
"161","NI89",0.042621933411215,23,1,1
"162","NI854",0.0441795658099688,21,2,1
"163","NI895",0.00311526479750779,28,1,0
"164","NI434",0.0252050477024922,6,2,1
"165","NI567",0.042621933411215,18,1,1
"166","NI224",0.042621933411215,15,2,1
"167","NI819",0.042621933411215,13,1,1
"168","NI271",0.042621933411215,11,1,1
"169","NI374",0.042621933411215,8,2,1
"170","NI430",0.042621933411215,5,2,1
"171","NI411",0.0554145979361371,11,2,1
"172","NI491",0.0554145979361371,9,2,1
"173","NI152",0.0554145979361371,7,2,1
"174","NI431",0.0554145979361371,5,2,1
"175","NI291",0.0330631814641745,38,2,1
"176","NI824",0.00311526479750779,43,1,0
"177","NI533",0.0173104069314642,14,1,1
"178","NI984",0.0173104069314642,9,2,1
"179","NI423",0.019646855529595,6,1,1
"180","NI833",0.00778816199376947,36,1,0
"181","NI284",0.0465160144080997,30,2,1
"182","NI209",0.0287097205996885,14,1,1
"183","NI881",0.0287097205996885,10,2,1
"184","NI419",0.0241433021806854,62,1,0
"185","NI585",0.0975345599688474,50,2,1
"186","NI586",0.0639541958722741,22,2,1
"187","NI914",0.0350923627336449,5,2,1
"188","NI344",0.0623965634735202,17,1,1
"189","NI452",0.0623965634735202,15,1,1
"190","NI373",0.065511828271028,31,2,1
"191","NI465",0.033534730334891,13,1,1
"192","NI664",0.0343135465342679,8,2,1
"193","NI170",0.0343135465342679,4,2,1
"194","NI219",0.0647330120716511,29,2,1
"195","NI989",0.0331453222352025,13,1,1
"196","NI437",0.0560017523364486,7,2,1
"197","NI142",0.0331453222352025,3,1,1
"198","NI792",0.00934579439252336,68,1,0
"199","NI598",0.0448427764797508,52,2,1
"200","NI180",0.0348824474299065,34,2,1
"201","NI620",0.0177180685358255,37,1,0
"202","NI72",0.0278578903816199,19,2,1
"203","NI551",0.0278578903816199,16,1,1
"204","NI597",0.0278578903816199,14,2,1
"205","NI689",0.0278578903816199,11,1,1
"206","NI408",0.0278578903816199,9,1,1
"207","NI272",0.0278578903816199,7,2,1
"208","NI667",0.0278578903816199,5,2,1
"209","NI354",0.0940298870716511,51,1,1
"210","NI817",0.0199084890965732,32,2,0
"211","NI572",0.058526820482866,16,1,1
"212","NI367",0.058526820482866,15,1,1
"213","NI478",0.058526820482866,13,2,1
"214","NI607",0.058526820482866,12,2,1
"215","NI602",0.058526820482866,10,2,1
"216","NI777",0.058526820482866,8,1,1
"217","NI257",0.058526820482866,6,2,1
"218","NI356",0.0249221183800623,46,1,0
"219","NI78",0.0268204828660436,46,2,0
"220","NI813",0.0165255062305296,23,1,1
"221","NI815",0.0274289330218069,21,1,1
"222","NI694",0.0274289330218069,19,1,1
"223","NI662",0.0274289330218069,16,1,1
"224","NI987",0.0274289330218069,14,2,1
"225","NI245",0.0274289330218069,11,2,1
"226","NI36",0.0132398753894081,51,1,0
"227","NI614",0.0475686331775701,46,2,1
"228","NI309",0.0342983352803738,23,2,1
"229","NI577",0.031961886682243,20,1,1
"230","NI125",0.031961886682243,17,2,1
"231","NI851",0.031961886682243,14,2,1
"232","NI251",0.031961886682243,12,1,1
"233","NI227",0.031961886682243,9,2,1
"234","NI22",0.031961886682243,6,1,1
"235","NI332",0.0682681074766355,78,2,1
"236","NI735",0,36,1,0
"237","NI317",0.106065031152648,76,2,1
"238","NI925",0.0916934384735203,36,1,1
"239","NI563",0.0156736760124611,28,2,0
"240","NI460",0.0552411896417445,14,1,1
"241","NI120",0.0552411896417445,12,2,1
"242","NI174",0.0552411896417445,9,2,1
"243","NI349",0.0552411896417445,7,2,1
"244","NI728",0.0552411896417445,4,1,1
"245","NI790",0.0147762120327103,31,1,0
"246","NI593",0.065511828271028,27,2,1
"247","NI858",0.033534730334891,11,2,1
"248","NI38",0.041652976538162,7,1,1
"249","NI766",0.041652976538162,4,1,1
"250","NI308",0.00778816199376947,31,2,0
"251","NI715",0.0707384151090343,29,1,1
"252","NI714",0.0408209209501558,11,1,1
"253","NI336",0.0408209209501558,9,2,1
"254","NI675",0.0408209209501558,7,1,1
"255","NI455",0.0408209209501558,5,1,1
"256","NI376",0.103752920560748,51,1,1
"257","NI425",0.0705102463006231,6,2,1
"258","NI165",0.0705102463006231,3,2,1
"259","NI768",0.00934579439252336,39,1,0
"260","NI724",0.0723021320093458,37,2,1
"261","NI140",0.0423815955996885,17,1,1
"262","NI462",0.0423815955996885,14,1,1
"263","NI459",0.0423815955996885,12,1,1
"264","NI733",0.0423815955996885,10,2,1
"265","NI199",0.0423815955996885,4,2,1
"266","NI924",0.00545171339563863,26,1,0
"267","NI503",0.0296376070872274,5,2,0
"268","NI502",0.0331422799844237,2,1,1
"269","NI947",0.0444837908878505,1,2,1
"270","NI133",0.0421960183021807,2,1,1
"271","NI823",0.019646855529595,1,1,1
"272","NI176",0.0336320823598131,2,1,1
"273","NI656",0.0553142036604361,2,2,1
"274","NI560",0.0303829585280374,0,2,1
"275","NI527",0.0319740556853583,2,2,1
"276","NI447",0.0319740556853583,0,1,1
"277","NI51",0.0442601854556075,2,1,1
"278","NI383",0.0589557778426791,0,1,1
"279","NI343",0.0298323111370716,2,2,1
"280","NI775",0.0452139310747664,2,2,1
"281","NI497",0.0472096475856698,3,2,1
"282","NI305",0.058526820482866,2,1,1
"283","NI878",0.0102219626168224,2,2,1
"284","NI482",0.0156006619937695,1,2,1
"285","NI280",0.0129478193146417,3,2,1
"286","NI467",0.0129478193146417,1,1,1
"287","NI774",0.0347029546339564,1,1,1
"288","NI35",0,6,2,0
"289","NI204",0.0297380013629284,2,2,1
"290","NI148",0.0357616579049844,1,2,1
"291","NI902",0.0388769227024922,0,2,1
"292","NI921",0.0447180441978193,3,1,1
"293","NI146",0.0447180441978193,1,2,1
"294","NI536",0.0381102755062305,1,1,1
"295","NI102",0.0342161945093458,1,1,1
"296","NI128",0.0614230432242991,3,2,1
"297","NI573",0.0357738269080997,2,2,1
"298","NI422",0.042621933411215,2,2,1
"299","NI300",0.0252050477024922,2,1,1
"300","NI440",0.041652976538162,0,1,1
"301","NI405",0.0350923627336449,1,2,1
"302","NI118",0.0423815955996885,2,2,1
"303","NI621",0.0278578903816199,1,1,1
"304","NI936",0.0554145979361371,1,1,1
"305","NI952",0.044094382788162,2,1,1
"306","NI571",0.0705102463006231,1,1,1
"307","NI223",0.036695628894081,3,2,1
"308","NI838",0.036695628894081,1,1,1
"309","NI856",0.0629745911214953,0,1,1
"310","NI175",0.0408209209501558,2,1,1
"311","NI314",0,26,1,0
"312","NI794",0.0219042056074766,21,1,0
"313","NI15",0.00919976635514019,21,1,0
"314","NI972",0.00233644859813084,26,1,0
"315","NI761",0.00116822429906542,19,1,0
"316","NI323",0.00155763239875389,37,1,0
"317","NI949",0.00155763239875389,20,1,0
"318","NI673",0,21,1,0
"319","NI566",0.00623052959501558,25,1,0
"320","NI486",0.0287097205996885,6,1,0
"321","NI381",0.0287097205996885,4,1,0
"322","NI250",0.0287097205996885,1,1,0
