"","i","avg_r","age","sex","primary","secondary","born"
"120","DM3199",0.0134079391891892,60,2,3,5,1
"121","DM3233",0.0105046452702703,36,2,0,1,1
"122","DM3298",0.00644003378378378,72,2,0,2,1
"123","DM3387",0,45,2,0,0,1
"124","DM3409",0.00211148648648649,21,2,1,0,1
"125","DM3465",0.0142525337837838,45,2,4,4,1
"126","DM3531",0.0205078125,24,2,0,10,1
"127","DM3542",0.0178420608108108,74,2,2,5,1
"128","DM3554",0.0192211254222973,29,1,2,2,1
"129","DM3576",0.0188417176942568,22,1,1,6,1
"130","DM3597",0,26,2,0,0,1
"131","DM3608",0.0182775548986486,62,2,3,1,1
"132","DM3630",0.0206595755912162,22,2,1,11,1
"133","DM3675",0.0168391047297297,74,1,1,1,1
"134","DM3686",0.0146220439189189,38,1,2,5,1
"135","DM3809",0.00718565244932432,28,2,0,2,1
"136","DM3842",0.00644003378378378,33,1,2,1,1
"137","DM3886",0,56,1,0,0,0
"138","DM3951",0.00401182432432432,31,1,1,1,1
"139","DM4051",0.0127711940456081,32,2,0,3,0
"140","DM4117",0.00105574324324324,23,2,0,1,1
"141","DM4148",0.000844594594594595,77,2,0,1,1
"142","DM4149",0.0347603462837838,40,1,6,9,1
"143","DM4154",0.025707347972973,82,1,4,6,1
"144","DM4156",0.0346712679476351,19,2,2,12,1
"145","DM4162",0.0347603462837838,32,1,6,9,1
"146","DM4164",0.0257535367398649,43,2,2,5,1
"147","DM4167",0.0179740287162162,34,1,2,4,1
"148","DM4168",0.0302206503378378,34,1,3,3,1
"149","DM4172",0.0248627533783784,79,1,3,7,1
"150","DM4173",0.00686233108108108,71,2,2,1,1
"151","DM4177",0.0224213471283784,74,2,3,4,1
"152","DM4178",0.0277396537162162,60,2,9,6,1
"153","DM4183",0.0217219172297297,59,2,2,4,1
"154","DM4185",0.0356049408783784,37,1,7,8,1
"155","DM4186",0.0302206503378378,26,1,3,3,1
"156","DM4187",0.0385082347972973,64,1,8,13,1
"157","DM4188",0.025707347972973,74,1,4,6,1
"158","DM4189",0.0355521537162162,68,1,5,15,1
"159","DM4190",0.0347603462837838,41,1,6,9,1
"160","DM4209",0.0138302364864865,80,2,0,1,1
"161","DM4217",0.0157833614864865,72,2,2,1,1
"162","DM4231",0.00337837837837838,83,1,2,0,1
"163","DM4236",0.0203098606418919,39,1,2,4,1
"164","DM4238",0.0203098606418919,59,2,2,4,1
"165","DM4242",0.0102802998310811,19,2,0,5,1
"166","DM4243",0.0138566300675676,27,1,1,4,1
"167","DM4247",0.0138566300675676,29,1,1,4,1
"168","DM4252",0.0181983741554054,33,1,4,4,1
"169","DM4255",0.0117962811444257,83,2,1,4,1
"170","DM4256",0.0207321579391892,72,1,4,7,1
"171","DM4258",0.0181983741554054,39,2,4,4,1
"172","DM4260",0.00800962705869932,41,2,2,0,1
"173","DM4267",0.0119298986486486,52,1,1,4,1
"174","DM4274",0.0158625422297297,35,1,0,7,1
"175","DM4281",0.0145890519425676,34,1,4,1,1
"176","DM4284",0.0181983741554054,40,1,4,4,1
"177","DM4285",0.00168918918918919,39,2,1,0,1
"178","DM4288",0.021801097972973,70,2,7,3,1
"179","DM4293",0.00929054054054054,50,1,1,1,1
"180","DM4297",0.0134607263513514,23,1,2,3,1
"181","DM4304",0.0145890519425676,35,1,4,1,1
"182","DM4305",0.00506756756756757,73,2,3,0,1
"183","DM4312",0.01904296875,45,2,5,3,1
"184","DM4313",0.0145890519425676,40,1,4,1,1
