,ID,Group,Sex,Age,Age_cat,r_to_all_adults,s_to_all_adults,r_to_group,r_to_adults,r_to_children,N_camps_w_kin,s_to_group,s_to_adults,N_camps_w_con_or_aff_kin
51,51,b,F,6.2,CHILD,0.013722325,0.013376384,0.067511792,0.07421875,0.061961207,8,0.083726415,0.119791667,NA
52,52,b,M,3.02,CHILD,0.013722325,0.013376384,0.067511792,0.07421875,0.061961207,8,0.083726415,0.119791667,NA
53,53,b,F,1.09,CHILD,0.013722325,0.013376384,0.067511792,0.07421875,0.061961207,8,0.083726415,0.119791667,NA
54,54,b,M,27.176626,ADULT,0.013194444,0.018518519,0.107900943,0.116847826,0.101041667,4,0.10495283,0.152173913,5
55,55,b,F,22.289615,ADULT,0.003703704,0.003703704,0.018867925,0,0.033333333,3,0.037735849,0.043478261,5
56,56,b,F,1.325667,CHILD,0.012107934,0.014760148,0.072818396,0.09765625,0.052262931,5,0.080778302,0.135416667,NA
57,57,b,F,20.862645,ADULT,0.006597222,0.003703704,0.037735849,0.016304348,0.054166667,7,0.037735849,0.043478261,9
58,58,b,M,25.332204,ADULT,0.001388889,0.003703704,0.018867925,0,0.033333333,4,0.037735849,0.043478261,9
59,59,b,F,3.334803,CHILD,0.007668358,0.007380074,0.037735849,0.049479167,0.028017241,8,0.047169811,0.083333333,NA
60,60,b,F,0.39,CHILD,0.007668358,0.007380074,0.037735849,0.049479167,0.028017241,8,0.047169811,0.083333333,NA
61,61,b,M,51.41518,ADULT,0.018981481,0.02962963,0.130896226,0.14673913,0.11875,4,0.143867925,0.217391304,7
62,62,b,F,53.575803,ADULT,0.006712963,0.003703704,0.037735849,0.02173913,0.05,5,0.018867925,0.043478261,7
63,63,b,M,19.89596167,ADULT,0.013194444,0.015740741,0.098466981,0.116847826,0.084375,4,0.076650943,0.119565217,NA
64,64,b,F,23.16,ADULT,0.013194444,0.018518519,0.112617925,0.116847826,0.109375,4,0.112028302,0.152173913,6
65,65,b,F,21.25,ADULT,0.013194444,0.015740741,0.103183962,0.116847826,0.092708333,4,0.083726415,0.119565217,NA
66,66,b,F,0.209369,CHILD,0.008417897,0.011531365,0.056308962,0.076822917,0.039331897,4,0.056014151,0.098958333,NA
67,67,b,M,56.572917,ADULT,0.016203704,0.024074074,0.123820755,0.114130435,0.13125,4,0.122641509,0.152173913,NA
68,68,b,M,13.90489,CHILD,0.015106089,0.016605166,0.094929245,0.1015625,0.089439655,6,0.080188679,0.104166667,NA
69,69,b,M,NA,ADULT,0.005208333,0.001851852,0.028301887,0.016304348,0.0375,4,0.014150943,0,NA
70,70,b,M,11.286375,CHILD,0.015106089,0.016605166,0.094929245,0.1015625,0.089439655,6,0.080188679,0.104166667,NA
71,71,b,M,8.5,CHILD,0.015106089,0.016605166,0.094929245,0.1015625,0.089439655,6,0.080188679,0.104166667,NA
